[main] started 42 self-play workers on GPUs [1, 2, 3, 4, 5, 6, 7], 96 games each, 512 sims/move
[learner] published initial weights to runs/az
[   1.0 min] step       0 | games       0 (  0.0/s) | buffer        0 | reuse 0.00 | policy 0.0000 value 0.0000 | 358.9 min left
[  69.0 min] step   27603 | games  179898 ( 43.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7760 value 0.3816 | 290.9 min left
[  70.0 min] step   28040 | games  182556 ( 43.4/s) | buffer  3000000 | reuse 6.00 | policy 1.7756 value 0.3799 | 289.9 min left
[  71.0 min] step   28440 | games  185189 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7752 value 0.3784 | 288.9 min left
[  72.0 min] step   28853 | games  187849 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7747 value 0.3768 | 287.9 min left
[  73.0 min] step   29270 | games  190461 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7744 value 0.3753 | 286.9 min left
[  74.0 min] step   29682 | games  193080 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7740 value 0.3737 | 285.9 min left
[  75.0 min] step   30098 | games  195732 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7738 value 0.3722 | 284.9 min left
[  76.0 min] step   30521 | games  198481 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7734 value 0.3706 | 283.9 min left
[  77.0 min] step   30945 | games  201218 ( 43.5/s) | buffer  3000000 | reuse 6.00 | policy 1.7732 value 0.3691 | 282.9 min left
[  78.0 min] step   31364 | games  203971 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7729 value 0.3677 | 281.9 min left
[  79.0 min] step   31773 | games  206703 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7726 value 0.3663 | 280.9 min left
[  80.0 min] step   32175 | games  209307 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7725 value 0.3649 | 279.9 min left
[  81.0 min] step   32577 | games  211941 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7721 value 0.3635 | 278.9 min left
[  82.0 min] step   32987 | games  214577 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7651 value 0.3075 | 277.9 min left
[  83.0 min] step   33420 | games  217301 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7635 value 0.3080 | 276.9 min left
[  84.0 min] step   33849 | games  220053 ( 43.6/s) | buffer  3000000 | reuse 6.00 | policy 1.7650 value 0.3080 | 275.9 min left
[  85.0 min] step   34249 | games  222709 ( 43.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7641 value 0.3054 | 274.9 min left
[  86.0 min] step   34675 | games  225519 ( 43.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7642 value 0.3043 | 273.9 min left
[  87.0 min] step   35071 | games  228207 ( 43.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7637 value 0.3032 | 272.9 min left
[  88.0 min] step   35483 | games  230951 ( 43.7/s) | buffer  3000000 | reuse 6.00 | policy 1.7632 value 0.3027 | 271.9 min left
[  89.0 min] step   35908 | games  233756 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7628 value 0.3018 | 270.9 min left
[  90.0 min] step   36310 | games  236406 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7630 value 0.2982 | 269.9 min left
[  91.0 min] step   36728 | games  239085 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7659 value 0.2959 | 268.9 min left
[  92.0 min] step   37164 | games  241806 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7655 value 0.2950 | 267.9 min left
[  93.0 min] step   37582 | games  244543 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7651 value 0.2933 | 266.9 min left
[  94.0 min] step   38004 | games  247348 ( 43.8/s) | buffer  3000000 | reuse 6.00 | policy 1.7653 value 0.2926 | 265.9 min left
[  95.0 min] step   38424 | games  250139 ( 43.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7655 value 0.2918 | 264.9 min left
[  96.0 min] step   38845 | games  253006 ( 43.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7657 value 0.2910 | 263.9 min left
[  97.0 min] step   39242 | games  255804 ( 43.9/s) | buffer  3000000 | reuse 6.00 | policy 1.7678 value 0.2827 | 262.9 min left
[  98.0 min] step   39661 | games  258660 ( 44.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7652 value 0.2828 | 261.9 min left
[  99.0 min] step   40067 | games  261411 ( 44.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7660 value 0.2824 | 260.9 min left
[ 100.0 min] step   40476 | games  264181 ( 44.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7664 value 0.2823 | 259.9 min left
[ 101.0 min] step   40876 | games  266887 ( 44.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7659 value 0.2818 | 258.9 min left
[ 102.0 min] step   41290 | games  269614 ( 44.0/s) | buffer  3000000 | reuse 6.00 | policy 1.7663 value 0.2810 | 257.9 min left
[ 103.0 min] step   41699 | games  272397 ( 44.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7701 value 0.2782 | 256.9 min left
[ 104.0 min] step   42119 | games  275162 ( 44.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7676 value 0.2775 | 255.9 min left
[ 105.0 min] step   42533 | games  277977 ( 44.1/s) | buffer  3000000 | reuse 6.00 | policy 1.7676 value 0.2766 | 254.9 min left
